Class_ID, Name, Sample_Num, Flag, Gender
n000151," ""Aitor_Karanka""",433,1, m
n000152," ""Aitor_Ocio""",392,1, m
n000154," ""Ajay_Devgan""",487,1, m
n000155," ""Ajay_Rochester""",291,1, f
n000156," ""Ajda_Pekkan""",358,1, f
n000157," ""Ajit_Pawar""",408,1, m
n000158," ""Akbar_Tandjung""",373,1, m
n000159," ""Akhilesh_Yadav""",494,1, m
n000160," ""Aki_Hoshino""",385,1, f
n000161," ""Akio_Toyoda""",379,1, m
n000162," ""Akkaphan_Namart""",292,1, m
n000163," ""Akkineni_Nagarjuna""",542,1, m
n000164," ""Aksel_Lund_Svindal""",375,1, m
n000165," ""Akshay_Oberoi""",289,1, m
n000166," ""Al_Bano_Carrisi""",400,1, m
n000167," ""Al_Franken""",417,1, m
n000168," ""Al_Golden""",289,1, m
n000169," ""Al_Jarreau""",328,1, m
n000170," ""Al_Murray""",384,1, m
n000171," ""Al_Roker""",459,1, m
n000172," ""Al_Sharpton""",484,1, m
n000173," ""Al-Farouq_Aminu""",286,1, m
n000174," ""Alain_Barrière""",280,1, m
n000175," ""Alain_Finkielkraut""",351,1, m
n000176," ""Alain_Juppé""",560,1, m
n000177," ""Alain_Minc""",266,1, m
n000178," ""Alain_Traoré""",208,0, m
n000179," ""Alain_Vigneault""",388,1, m
n000180," ""Alaina_Huffman""",330,1, f
n000181," ""Alan_Carr""",399,1, m
n000182," ""Alan_Dzagoev""",280,1, m
n000183," ""Alan_Hutton""",314,1, m
n000184," ""Alan_Mulally""",416,1, m
n000185," ""Alan_Pardew""",554,1, m
n000186," ""Alan_Shearer""",500,1, m
n000187," ""Alan_Sugar""",376,1, m
n000188," ""Alana_Curry""",494,1, f
n000189," ""Alana_Nichols""",175,1, f
n000190," ""Alana_de_la_Garza""",346,1, f
n000191," ""Alassane_Ouattara""",385,1, m
n000192," ""Alastair_Cook""",518,1, m
n000193," ""Albert_Boadella""",271,1, m
n000194," ""Albert_Cartier""",193,1, m
n000195," ""Albert_Pujols""",300,1, m
n000196," ""Albert_Ramos""",188,1, m
n000197," ""Albert_Sosnowski""",323,1, m
n000198," ""Alberto_Del_Rio""",240,1, m
n000199," ""Alberto_Fujimori""",413,1, m
n000201," ""Alberto_Malesani""",277,1, m
n000202," ""Alberto_Núñez_Feijóo""",648,1, m
n000203," ""Alberto_Ruiz-Gallardón""",526,1, m
n000204," ""Alberto_San_Juan""",378,1, m
n000205," ""Albie_Casiño""",418,1, m
n000206," ""Aldo_Rebelo""",368,1, m
n000207," ""Aldo_de_Nigris""",386,1, m
n000208," ""Alec_Burks""",276,1, m
n000209," ""Alecsandro""",363,1, m
n000210," ""Alejandra_Barros""",279,1, f
n000211," ""Alejandro_Chabán""",333,1, m
n000212," ""Alejandro_Escovedo""",312,1, m
n000213," ""Alejandro_Falla""",271,1, m
n000214," ""Alejandro_Fernández""",486,1, m
n000215," ""Alejandro_González_Iñárritu""",440,1, m
n000216," ""Alejandro_Sabella""",371,1, m
n000217," ""Alejandro_Sanz""",439,1, m
n000218," ""Alejandro_Tous""",336,1, m
n000219," ""Alejo_Sauras""",365,1, m
n000220," ""Alek_Wek""",476,1, m
n000221," ""Aleks_Syntek""",371,1, m
n000222," ""Aleksandar_Mitrović""",411,1, m
n000223," ""Aleksandar_Vučić""",506,1, m
n000224," ""Aleksandar_Šapić""",296,1, m
n000225," ""Aleksander_Kwaśniewski""",623,1, m
n000226," ""Aleksandr_Kokorin""",247,1, m
n000227," ""Aleksandra_Kisio""",564,1, f
n000228," ""Aleksandra_Kwasniewska""",596,1, f
n000229," ""Aleksandra_Nieśpielak""",271,1, f
n000230," ""Aleksandra_Radović""",272,1, f
n000231," ""Alela_Diane""",260,1, f
n000232," ""Alena_Zavarzina""",246,1, f
n000233," ""Alesana_Tuilagi""",311,1, m
n000234," ""Alesha_Dixon""",639,1, f
n000235," ""Alesia_Raut""",414,1, f
n000236," ""Alessandra_Amoroso""",481,1, f
n000237," ""Alessandra_Facchinetti""",230,1, f
n000238," ""Alessandra_Mastronardi""",474,1, f
n000239," ""Alessandra_Mussolini""",330,1, f
n000240," ""Alessandra_Negrini""",396,1, f
n000241," ""Alessandro_Del_Piero""",548,1, m
n000242," ""Alessandro_Nesta""",437,1, m
n000243," ""Alessandro_Nivola""",436,1, m
n000244," ""Alessandro_Profumo""",334,1, m
n000245," ""Alessandro_Safina""",299,1, m
n000246," ""Alessandro_Sartori""",228,1, m
n000247," ""Alessia_Filippi""",213,1, f
n000248," ""Alessia_Marcuzzi""",518,1, f
n000249," ""Alessio_Boni""",392,1, m
n000250," ""Alessio_Cerci""",415,1, m
n000251," ""Alex_Aniston""",308,1, f
n000252," ""Alex_Atala""",300,1, m
n000253," ""Alex_Cora""",113,1, m
n000254," ""Alex_Ebert""",332,1, m
n000255," ""Alex_Ferguson""",580,1, m
n000256," ""Alex_Fevola""",207,1, f
n000257," ""Alex_Gaskarth""",520,1, m
n000258," ""Alex_Gibney""",230,1, m
n000259," ""Alex_Gonzaga""",431,0, f
n000260," ""Alex_Lundqvist""",474,1, m
n000261," ""Alex_Meneses""",328,1, f
n000262," ""Alex_Morgan""",433,1, f
n000263," ""Alex_Noerdin""",308,1, m
n000264," ""Alex_OLoughlin""",438,1, m
n000265," ""Alex_Oxlade-Chamberlain""",499,1, m
n000266," ""Alex_Salmond""",677,1, m
n000267," ""Alex_Song""",352,1, m
n000268," ""Alex_Turner""",479,1, m
n000269," ""Alex_van_Warmerdam""",238,1, m
n000270," ""Alexa_Chung""",720,1, f
n000271," ""Alexa_Ray_Joel""",503,1, f
n000272," ""Alexa_Vega""",398,1, f
n000273," ""Alexander_Dale_Oen""",246,1, m
n000274," ""Alexander_Dobrindt""",462,1, m
n000275," ""Alexander_Fehling""",433,1, m
n000276," ""Alexander_Gerst""",318,1, m
n000277," ""Alexander_Klaws""",491,1, m
n000278," ""Alexander_Majorov""",199,1, m
n000279," ""Alexander_Merkel""",206,1, m
n000280," ""Alexander_Morozevich""",284,1, m
n000281," ""Alexander_Payne""",345,1, m
n000282," ""Alexander_Skarsgård""",588,1, m
n000283," ""Alexandr_Dolgopolov""",326,1, m
n000284," ""Alexandra_Edenborough""",344,0, f
n000285," ""Alexandra_Kamp""",388,1, f
n000286," ""Alexandra_Lamy""",442,1, f
n000287," ""Alexandra_Lara""",422,1, f
n000288," ""Alexandra_Neldel""",430,1, f
n000289," ""Alexandra_Paul""",327,1, f
n000290," ""Alexandra_Socha""",211,1, f
n000291," ""Alexandra_Wentworth""",336,1, f
n000292," ""Alexandre_Bilodeau""",389,1, m
n000293," ""Alexandre_Gallo""",222,1, m
n000294," ""Alexandre_Lacazette""",349,1, m
n000295," ""Alexandre_Pato""",398,1, m
n000296," ""Alexei_Kudrin""",276,1, m
n000297," ""Alexis_Bledel""",499,1, f
n000298," ""Alexis_Georgoulis""",242,1, m
n000299," ""Alexis_Jordan""",397,1, f
n000300," ""Alexis_Sánchez""",518,1, m
n000301," ""Alexis_Texas""",347,1, f
n000302," ""Alexis_Tsipras""",613,1, m
n000303," ""Alexis_Valdés""",174,1, m
n000304," ""Aleš_Brichta""",272,1, m
n000305," ""Alfie_Allen""",438,1, m
n000306," ""Alfie_Boe""",459,1, m
n000307," ""Alfonso_Bassave""",320,1, m
n000308," ""Alfonso_Guerra""",328,1, m
n000309," ""Alfonso_Herrera""",462,1, m
n000310," ""Alfonso_Portillo""",319,1, m
n000311," ""Alfred_Biolek""",362,1, m
n000312," ""Alfred_Dorfer""",266,1, m
n000313," ""Alfred_Schreuder""",225,1, m
n000314," ""Alfredo_Pérez_Rubalcaba""",617,1, m
n000315," ""Alfredo_Talavera""",278,1, m
n000316," ""Algirdas_Butkevičius""",497,1, m
n000317," ""Algirdas_Šemeta""",191,1, m
n000318," ""Ali_Akbar_Salehi""",482,1, m
n000319," ""Ali_Bastian""",355,1, f
n000320," ""Ali_Krieger""",385,1, f
n000321," ""Ali_Michael""",381,1, f
n000322," ""Ali_al-Naimi""",327,1, m
n000323," ""Alia_Shawkat""",360,1, f
n000324," ""Alice_Bah_Kuhnke""",318,1, f
n000325," ""Alice_Beer""",254,1, f
n000326," ""Alice_Dellal""",529,1, f
n000327," ""Alice_Kim""",253,1, f
n000328," ""Alice_Sara_Ott""",240,1, f
n000329," ""Alice_Taglioni""",434,1, f
n000330," ""Alicia_Sacramone""",326,1, f
n000331," ""Alicia_Sánchez-Camacho""",510,1, f
n000332," ""Alicia_Vikander""",564,1, f
n000333," ""Alicja_Janosz""",350,1, f
n000334," ""Alicja_Rosolska""",262,1, f
n000335," ""Alie_Layus""",235,1, f
n000336," ""Aline_Weber""",296,1, f
n000337," ""Alinne_Moraes""",350,1, f
n000338," ""Alisar_Ailabouni""",311,1, f
n000339," ""Alisher_Usmanov""",242,1, m
n000340," ""Alison_Angel""",268,1, f
n000341," ""Alison_King""",436,1, f
n000342," ""Alison_Riske""",206,1, f
n000343," ""Alissa_Czisny""",346,1, f
n000344," ""Alissa_White-Gluz""",366,1, f
n000345," ""Alistair_Overeem""",436,1, m
n000346," ""Alka_Yagnik""",413,1, f
n000347," ""Alla_Pugacheva""",424,1, f
n000348," ""Allan_McGregor""",338,1, m
n000349," ""Allan_Wu""",209,1, m
n000350," ""Allari_Naresh""",442,1, m
n000351," ""Allegra_Versace""",448,1, f
n000352," ""Allen_Leech""",475,1, m
n000353," ""Allen_West""",285,1, m
n000354," ""Alley_Mills""",370,1, f
n000355," ""Allison_Holker""",384,1, f
n000356," ""Allison_Iraheta""",387,1, f
n000357," ""Allison_Mack""",414,1, f
n000358," ""Ally_McCoist""",519,1, m
n000359," ""Allyson_Felix""",455,1, f
n000360," ""Alma_Muriel""",154,1, f
n000361," ""Almazbek_Atambayev""",386,1, m
n000362," ""Almir_Sater""",234,1, m
n000363," ""Alodia_Gosiengfiao""",505,0, f
n000364," ""Alois_Hadamczik""",269,1, m
n000365," ""Alona_Tal""",377,1, f
n000366," ""Alonzo_Bodden""",241,1, m
n000367," ""Altaír_Jarabo""",393,1, f
n000368," ""Alun_Wyn_Jones""",382,1, m
n000369," ""Alvin_Stardust""",342,1, m
n000370," ""Aly_Cissokho""",254,1, m
n000371," ""Alysia_Montaño""",282,1, f
n000372," ""Alysia_Reiner""",435,1, f
n000373," ""Alyson_Hannigan""",408,1, f
n000374," ""Alyson_Stoner""",392,1, f
n000375," ""Alysson_Paradis""",327,1, f
n000376," ""Amaia_Salamanca""",433,1, f
n000377," ""Amala_Akkineni""",473,1, f
n000378," ""Amala_Paul""",530,1, f
n000379," ""Amanda_Beard""",357,1, f
n000380," ""Amanda_Byram""",452,1, f
n000381," ""Amanda_Crew""",301,1, f
n000382," ""Amanda_Jenssen""",308,1, f
n000383," ""Amanda_Knox""",400,1, f
n000384," ""Amanda_Miguel""",276,1, f
n000385," ""Amanda_Palmer""",273,1, f
n000386," ""Amanda_Redman""",329,1, f
n000387," ""Amanda_Righetti""",442,1, f
n000388," ""Amanda_Schull""",315,1, f
n000389," ""Amar_Ghoul""",255,1, m
n000390," ""Amar_Osim""",205,1, m
n000391," ""Amare_Stoudemire""",425,1, m
n000392," ""Amauri""",353,1, m
n000393," ""Amaury_Vassili""",332,1, m
n000394," ""Amber_Brkich""",242,0, f
n000395," ""Amber_Heard""",605,1, f
n000396," ""Amber_Lancaster""",307,1, f
n000397," ""Amber_Le_Bon""",539,1, f
n000398," ""Amber_Stevens""",273,1, f
n000399," ""Amber_Valletta""",538,1, f
n000400," ""Ambrose_Akinmusire""",238,1, m
n000401," ""Amel_Bent""",392,1, f
n000402," ""Amelia_Vega""",351,1, f
n000403," ""Amelle_Berrabah""",495,1, f
n000405," ""America_Olivo""",404,1, f
n000406," ""Amerie""",434,1, f
n000407," ""Ami_James""",304,1, m
n000408," ""Ami_Trivedi""",275,1, f
n000409," ""Amien_Rais""",362,1, m
n000410," ""Amina_Shafaat""",199,0, f
n000411," ""Amira_Casar""",466,1, f
n000412," ""Amit_Sadh""",434,1, m
n000413," ""Amit_Shah""",437,1, m
n000414," ""Amjad_Ali_Khan""",356,1, m
n000415," ""Amr_Shabana""",335,1, m
n000416," ""Amrinder_Gill""",299,1, m
n000417," ""Amruta_Khanvilkar""",393,1, f
n000418," ""Amy_Acker""",422,1, f
n000419," ""Amy_Adams""",689,1, f
n000420," ""Amy_Brenneman""",452,1, f
n000421," ""Amy_Diamond""",387,1, f
n000422," ""Amy_Dumas""",415,1, f
n000423," ""Amy_Fisher""",222,1, f
n000424," ""Amy_Gumenick""",207,1, f
n000425," ""Amy_Huberman""",454,1, f
n000426," ""Amy_Paffrath""",402,1, f
n000427," ""Amy_Pascal""",315,1, f
n000428," ""Amy_Robach""",373,1, f
n000429," ""Amy_Smart""",491,1, f
n000430," ""Amy_Tan""",231,1, f
n000431," ""Amy_Van_Dyken""",255,1, f
n000432," ""Amy_Williams""",255,1, f
n000433," ""Amy_Yang""",213,1, f
n000434," ""Amélie_Mauresmo""",470,1, f
n000435," ""Amélie_Nothomb""",420,1, f
n000436," ""An_Jeong-hwan""",200,1, m
n000437," ""An_Lemmens""",175,1, f
n000438," ""Ana_Beatriz_Barros""",556,1, f
n000439," ""Ana_Carolina_da_Fonseca""",191,1, f
n000440," ""Ana_Claudia_Talancón""",433,1, f
n000441," ""Ana_Duato""",474,1, f
n000442," ""Ana_Gabriel""",322,1, f
n000443," ""Ana_Girardot""",379,1, f
n000444," ""Ana_Hickmann""",385,1, f
n000445," ""Ana_Layevska""",344,1, f
n000446," ""Ana_Lucía_Domínguez""",397,1, f
n000447," ""Ana_Milán""",397,1, f
n000448," ""Ana_Moura""",252,1, f
n000449," ""Ana_Patricia_Botin""",366,1, f
n000450," ""Ana_Paula_Arósio""",412,1, f
n000451," ""Ana_Paula_Padrão""",364,1, f
n000452," ""Ana_Rosa_Quintana""",454,0, f
n000453," ""Ana_Serradilla""",349,1, f
n000454," ""Ana_Torroja""",331,1, f
n000455," ""Ana_Turpin""",263,1, f
n000456," ""Ana_de_la_Reguera""",481,1, f
n000457," ""Anahí_de_Cardenas""",281,1, f
n000458," ""Analeigh_Tipton""",386,1, f
n000459," ""Anand_Mahindra""",443,1, m
n000460," ""Ananda_Lewis""",378,1, f
n000461," ""Ananya""",341,1, f
n000462," ""Anastacia""",455,1, f
n000463," ""Anastasia_Volochkova""",384,1, f
n000464," ""Anastasia_Zampounidis""",373,1, f
n000465," ""Anaïs_Demoustier""",436,1, f
n000466," ""Anders_Anundsen""",336,1, m
n000467," ""Anders_Fannemel""",367,1, m
n000468," ""Anders_Osborne""",217,1, m
n000469," ""Anderson_Cooper""",476,1, m
n000470," ""Anderson_Pico""",157,1, m
n000471," ""Anderson_Varejão""",373,1, m
n000472," ""Andie_MacDowell""",658,1, f
n000473," ""Andien""",364,1, f
n000474," ""Andranik_Teymourian""",252,1, m
n000475," ""Andre_Berto""",351,1, m
n000476," ""Andre_Iguodala""",435,1, m
n000477," ""Andre_Miller""",302,1, m
n000478," ""Andre_Ward""",390,1, m
n000479," ""Andrea_Agnelli""",427,1, m
n000480," ""Andrea_Anders""",312,0, f
n000481," ""Andrea_Bargnani""",348,1, m
n000482," ""Andrea_Berg""",461,1, f
n000483," ""Andrea_Bocelli""",383,1, m
n000484," ""Andrea_Corr""",463,1, f
n000485," ""Andrea_Del_Boca""",453,1, f
n000486," ""Andrea_Elisabeth_Rudolph""",215,1, f
n000487," ""Andrea_Frigerio""",341,1, f
n000488," ""Andrea_Jeremiah""",411,1, f
n000489," ""Andrea_Kaiser""",338,1, f
n000490," ""Andrea_Mandorlini""",338,1, m
n000491," ""Andrea_McLean""",502,1, f
n000492," ""Andrea_Mitchell""",359,1, f
n000493," ""Andrea_Morassi""",102,1, m
n000494," ""Andrea_Nahles""",475,1, f
n000495," ""Andrea_Osvárt""",443,1, f
n000496," ""Andrea_Parker""",293,1, f
n000497," ""Andrea_Pirlo""",492,1, m
n000498," ""Andrea_Ranocchia""",415,1, m
n000499," ""Andrea_Rincon""",280,1, f
n000500," ""Andrea_Sawatzki""",477,1, f
n000501," ""Andrea_Serna""",374,1, f
n000502," ""Andrea_Tantaros""",335,1, f
n000503," ""Andrea_Veresova""",441,1, f
n000504," ""Andrea_Ypsilanti""",297,1, f
n000505," ""Andrea_Šušnjara""",256,1, f
n000506," ""Andreas_Birnbacher""",207,1, m
n000507," ""Andreas_Dresen""",273,1, m
n000508," ""Andreas_Gabalier""",517,1, m
n000509," ""Andreas_Jancke""",218,1, m
n000510," ""Andreas_Lundstedt""",391,1, m
n000511," ""Andreas_Pietschmann""",350,1, m
n000512," ""Andreas_Pinkwart""",248,1, m
n000513," ""Andreas_Scheuer""",345,1, m
n000514," ""Andreas_Seppi""",287,1, m
n000515," ""Andreea_Mitu""",203,1, f
n000516," ""Andrei_Arlovski""",366,1, m
n000517," ""Andrei_Kirilenko""",350,1, m
n000518," ""Andrew_Bynum""",376,1, m
n000519," ""Andrew_Fifita""",313,1, m
n000520," ""Andrew_Flintoff""",497,1, m
n000521," ""Andrew_Lincoln""",402,1, m
n000522," ""Andrew_Lloyd_Webber""",414,1, m
n000524," ""Andrew_Strauss""",387,1, m
n000525," ""Andrew_Symonds""",212,1, m
n000526," ""Andrew_Trimble""",388,1, m
n000527," ""Andrew_Upton""",329,0, m
n000528," ""Andrew_VanWyngarden""",447,1, m
n000529," ""Andrew_W.K.""",373,1, m
n000530," ""Andrew_Zimmern""",408,1, m
n000531," ""Andrey_Amador""",224,1, m
n000532," ""Andrey_Arshavin""",479,1, m
n000533," ""Andrey_Golubev""",173,1, m
n000534," ""Andris_Nelsons""",294,1, m
n000535," ""Andriy_Shevchenko""",442,1, m
n000536," ""Andrzej_Lepper""",363,1, m
n000537," ""Andrzej_Piaseczny""",494,1, m
n000538," ""André_3000""",424,1, m
n000539," ""André_Ayew""",433,1, m
n000540," ""André_Balazs""",391,1, m
n000541," ""André_Breitenreiter""",385,1, m
n000542," ""André_Kuipers""",312,1, m
n000543," ""André_Manoukian""",363,1, m
n000544," ""André_Rieu""",511,1, m
n000545," ""André_Schürrle""",514,1, m
n000546," ""André_Segatti""",240,1, m
n000547," ""André_Villas-Boas""",531,1, m
n000548," ""André-Pierre_Gignac""",444,1, m
n000549," ""Andrés_Calamaro""",425,1, m
n000550," ""Andrés_Guardado""",453,1, m
n000551," ""Andrés_Iniesta""",463,1, m
n000552," ""Andrés_Manuel_López_Obrador""",435,1, m
n000553," ""Andrés_Nocioni""",364,1, m
n000554," ""Andrés_Velencoso""",564,1, m
n000555," ""Andy_Allo""",265,1, m
n000556," ""Andy_Belsak""",141,1, m
n000557," ""Andy_Borg""",461,1, m
n000558," ""Andy_Burnham""",548,1, m
n000559," ""Andy_Carroll""",359,1, m
n000560," ""Andy_Lau""",516,1, m
n000561," ""Andy_Reid""",406,1, m
n000562," ""Andy_Roddick""",431,1, m
n000563," ""Aneta_Kręglicka""",545,1, f
n000564," ""Aneta_Langerová""",428,1, f
n000565," ""Aneta_Todorczuk-Perchuć""",372,1, f
n000566," ""Angel_Locsin""",430,1, f
n000567," ""Angel_Porrino""",365,1, f
n000568," ""Angela_Bassett""",540,1, f
n000569," ""Angela_Gheorghiu""",472,1, f
n000570," ""Angela_Gossow""",283,1, f
n000571," ""Angela_Groothuizen""",343,1, f
n000573," ""Angela_Martini""",393,1, f
n000574," ""Angela_Rippon""",431,1, f
n000575," ""Angela_Sarafyan""",294,1, f
n000576," ""Angela_Similea""",317,1, f
n000577," ""Angela_Simmons""",631,1, f
n000578," ""Angela_Yee""",406,1, f
n000579," ""Angelababy""",481,1, f
n000580," ""Angelica_Bengtsson""",248,1, f
n000581," ""Angelica_Celaya""",292,1, f
n000582," ""Angelica_Panganiban""",391,1, f
n000583," ""Angelika_Jakubowska""",262,1, f
n000584," ""Angelique_Kerber""",374,1, f
n000585," ""Angelique_Morgan""",222,1, f
n000586," ""Angelo_Mathews""",332,1, m
n000587," ""Angelo_Scola""",429,1, m
n000588," ""Angham""",329,1, f
n000589," ""Angie_Cepeda""",393,1, f
n000590," ""Angie_Chiu""",287,1, f
n000591," ""Angie_Everhart""",443,1, f
n000592," ""Angie_Motshekga""",257,1, f
n000593," ""Angie_Stone""",321,1, f
n000594," ""Angus_Deayton""",354,1, m
n000595," ""Angy_Fernández""",397,1, f
n000596," ""Angélique_Kidjo""",357,0, m
n000597," ""Anifah_Aman""",360,1, m
n000598," ""Anil_Kapoor""",551,1, m
n000599," ""Anish_Giri""",387,1, m
n000600," ""Anita_Dobson""",446,1, f
n000601," ""Anita_Doth""",254,1, f
n000602," ""Anita_Görbicz""",344,1, f
n000603," ""Anita_Hassanandani""",425,1, f
n000604," ""Anita_Lipnicka""",343,1, f
n000605," ""Anita_Meyer""",211,1, f
